deputy_id,nom,prenom,groupe_abrev,groupe_nom,parti_rattachement,dept,circo,period_start,period_end,scrutins_eligibles,votes_exprimes,non_votant,absent,participation_rate,pour_count,contre_count,abst_count,amd_authored,amd_adopted,amd_adoption_rate,amd_cosigned,interventions_count,interventions_chars,top_dossier_id,top_dossier_titre,top_dossier_score
PA795176,Metzdorf,Nicolas,EPR,Ensemble pour la République,Générations NC,Nouvelle-Calédonie,1,2024-07-07,2026-02-27,5799,933,0,4866,0.1609,278,640,15,192,14,0.0729,920,0,0,,,
PA795200,Dufour,Alma,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Seine-Maritime,4,2024-07-07,2026-02-27,5799,1309,0,4490,0.2257,595,675,39,69,11,0.1594,14163,0,0,,,
PA795228,Abomangoli,Nadège,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Seine-Saint-Denis,10,2024-06-30,2026-02-27,5799,2327,230,3242,0.4013,1113,1143,71,127,27,0.2126,14085,0,0,,,
PA795240,Reid Arbelot,Mereana,GDR,Gauche Démocrate et Républicaine,Tavini Huiraatira No Te Ao Ma'ohi - Front de libération de Polynésie,Polynésie Française,3,2024-07-07,2026-02-27,5799,226,0,5573,0.0390,103,105,18,171,38,0.2222,2595,0,0,,,
PA795244,Lenormand,Stéphane,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",Archipel demain,Saint-Pierre-et-Miquelon,1,2024-07-07,2026-02-27,5799,669,0,5130,0.1154,275,318,76,118,19,0.1610,1518,0,0,,,
PA795258,Gumbs,Frantz,DEM,Les Démocrates,Ensemble ! (majorité présidentielle),Saint-Barthélemy et Saint-Martin,1,2024-07-07,2026-02-27,5799,1225,0,4574,0.2112,402,789,34,69,32,0.4638,691,0,0,,,
PA795270,Poussier-Winsback,Marie-Agnès,HOR,Horizons & Indépendants,Horizons,Seine-Maritime,9,2024-07-07,2026-02-27,5799,1481,530,3788,0.2554,509,876,96,68,1,0.0147,441,0,0,,,
PA795278,Bellamy,Béatrice,HOR,Horizons & Indépendants,Horizons,Vendée,2,2024-07-07,2026-02-27,5799,2101,0,3698,0.3623,703,1313,85,30,13,0.4333,632,0,0,,,
PA795298,Legavre,Jérôme,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Seine-Saint-Denis,12,2024-07-07,2026-02-27,5799,1848,0,3951,0.3187,928,856,64,95,11,0.1158,14124,0,0,,,
PA795310,Guetté,Clémence,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Val-de-Marne,2,2024-06-30,2026-02-27,5799,2105,237,3457,0.3630,1032,994,79,69,8,0.1159,14166,0,0,,,
PA795318,Boyard,Louis,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Val-de-Marne,3,2024-07-07,2026-02-27,5799,1497,0,4302,0.2581,683,736,78,378,24,0.0635,13850,0,0,,,
PA795326,Weissberg,Christopher,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Français établis hors de France,1,2024-07-07,2026-02-27,5799,208,0,5591,0.0359,73,132,3,0,0,,174,0,0,,,
PA795334,Larrouquis,Benoît,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Français établis hors de France,2,2024-07-07,2026-02-27,5799,284,0,5515,0.0490,122,159,3,0,0,,172,0,0,,,
PA795350,Valletoux,Frédéric,HOR,Horizons & Indépendants,Horizons,Seine-et-Marne,2,2024-07-07,2026-02-27,5799,1794,0,4005,0.3094,502,1214,78,89,28,0.3146,556,0,0,,,
PA795362,Belluco,Lisa,ECOS,Écologiste et Social,Les Écologistes - EELV,Vienne,1,2024-07-07,2026-02-27,5799,2192,0,3607,0.3780,1160,915,117,1198,59,0.0492,9010,0,0,,,
PA795374,Lecamp,Pascal,DEM,Les Démocrates,Ensemble ! (majorité présidentielle),Vienne,3,2024-07-07,2026-02-27,5799,1377,0,4422,0.2375,456,895,26,87,22,0.2529,713,0,0,,,
PA795390,Lalanne,Sandrine,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Val-de-Marne,5,2024-07-07,2026-02-27,5799,948,0,4851,0.1635,286,622,40,13,3,0.2308,173,0,0,,,
PA795402,Coggia,Nathalie,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Français établis hors de France,5,2025-10-12,2026-02-27,2745,1218,0,1527,0.4437,315,876,27,57,12,0.2105,276,0,0,,,
PA795410,Roullaud,Béatrice,RN,Rassemblement National,Rassemblement national,Seine-et-Marne,6,2024-07-07,2026-02-27,5799,3014,0,2785,0.5197,1479,1266,269,58,1,0.0172,3461,0,0,,,
PA795422,Maudet,Damien,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Haute-Vienne,1,2024-07-07,2026-02-27,5799,1424,0,4375,0.2456,705,651,68,551,56,0.1016,13781,0,0,,,
PA795430,Delautrette,Stéphane,SOC,Socialistes et apparentés,Parti socialiste,Haute-Vienne,2,2024-07-07,2026-02-27,5799,2193,0,3606,0.3782,1000,1110,83,365,114,0.3123,3911,0,0,,,
PA795454,Ben Cheikh,Karim,ECOS,Écologiste et Social,Les Écologistes - EELV,Français établis hors de France,9,2024-07-07,2026-02-27,5799,2314,0,3485,0.3990,1267,989,58,295,62,0.2102,9612,0,0,,,
PA795466,Soudais,Ersilia,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Seine-et-Marne,7,2024-07-07,2026-02-27,5799,1923,0,3876,0.3316,849,982,92,119,6,0.0504,14109,0,0,,,
PA795482,Meunier,Manon,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Haute-Vienne,3,2024-07-07,2026-02-27,5799,2126,0,3673,0.3666,1044,947,135,300,53,0.1767,13953,0,0,,,
PA795516,Laisney,Maxime,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Seine-et-Marne,10,2024-07-07,2026-02-27,5799,3333,0,2466,0.5748,1627,1579,127,156,23,0.1474,14108,0,0,,,
PA795528,Rodwell,Charles,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Yvelines,1,2024-07-07,2026-02-27,5799,1013,0,4786,0.1747,285,704,24,245,33,0.1347,909,0,0,,,
PA795540,Grenon,Daniel,NI,Non inscrit,Debout la France,Yonne,1,2024-07-07,2026-02-27,5799,392,0,5407,0.0676,254,128,10,60,4,0.0667,1,0,0,,,
PA795552,Odoul,Julien,RN,Rassemblement National,Rassemblement national,Yonne,3,2024-06-30,2026-02-27,5799,494,0,5305,0.0852,278,184,32,152,3,0.0197,4179,0,0,,,
PA795588,Amrani,Farida,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Essonne,1,2024-07-07,2026-02-27,5799,1673,0,4126,0.2885,879,717,77,51,9,0.1765,14161,0,0,,,
