deputy_id,nom,prenom,groupe_abrev,groupe_nom,parti_rattachement,dept,circo,period_start,period_end,scrutins_eligibles,votes_exprimes,non_votant,absent,participation_rate,pour_count,contre_count,abst_count,amd_authored,amd_adopted,amd_adoption_rate,amd_cosigned,interventions_count,interventions_chars,top_dossier_id,top_dossier_titre,top_dossier_score
PA267318,Grelier,Jean-Carles,DEM,Les Démocrates,Ensemble ! (majorité présidentielle),Sarthe,5,2026-01-28,2026-02-27,577,12,0,565,0.0208,10,2,0,0,0,,0,0,0,,,
PA267763,Bataille,Jean-Pierre,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",Régions et peuples solidaires,Nord,15,2026-01-28,2026-02-27,577,44,0,533,0.0763,21,19,4,0,0,,80,0,0,,,
PA267780,Firmin Le Bodo,Agnès,HOR,Horizons & Indépendants,Horizons,Seine-Maritime,7,2026-01-28,2026-02-27,577,177,0,400,0.3068,37,133,7,29,3,0.1034,64,0,0,,,
PA267794,Tabarot,Michèle,DR,Droite Républicaine,Les Républicains,Alpes-Maritimes,9,2026-01-28,2026-02-27,577,3,0,574,0.0052,2,1,0,1,0,0.0000,30,0,0,,,
PA2940,Voynet,Dominique,ECOS,Écologiste et Social,Les Écologistes - EELV,Doubs,2,2026-01-28,2026-02-27,577,293,0,284,0.5078,67,213,13,0,0,,137,0,0,,,
PA2952,Warsmann,Jean-Luc,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",Non rattaché(s),Ardennes,3,2026-01-28,2026-02-27,577,3,0,574,0.0052,2,1,0,0,0,,6,0,0,,,
PA2960,Woerth,Éric,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Oise,4,2026-01-28,2026-02-27,577,114,0,463,0.1976,53,58,3,0,0,,53,0,0,,,
PA309643,Besse,Véronique,NI,Non inscrit,UDR - Union des Droites pour la République,Vendée,4,2026-01-28,2026-02-27,577,108,0,469,0.1872,85,20,3,56,0,0.0000,124,0,0,,,
PA330008,Breton,Xavier,DR,Droite Républicaine,Les Républicains,Ain,1,2026-01-28,2026-02-27,577,78,0,499,0.1352,57,14,7,1,0,0.0000,355,0,0,,,
PA330240,Ciotti,Éric,UDDPLR,Union des droites pour la République,UDR - Union des Droites pour la République,Alpes-Maritimes,1,2026-01-28,2026-02-27,577,6,0,571,0.0104,5,1,0,10,0,0.0000,0,0,0,,,
PA330909,Descoeur,Vincent,DR,Droite Républicaine,Les Républicains,Cantal,1,2026-01-28,2026-02-27,577,75,0,502,0.1300,42,17,16,2,0,0.0000,53,0,0,,,
